E_minus_EF_eV,QE_dosx_DOS_states_eV-1_cell-1,BoltzTraP2_DOS_states_eV-1_cell-1,BoltzTraP2_DOS_broadened_states_eV-1_cell-1
-4.480000000000032401e+00,1.306116902506611410e+01,8.688459890803041930e+00,1.465465420007224573e+01
-4.460000000000032827e+00,1.417878707852593223e+01,9.717367528103205032e+00,1.547798170400511886e+01
-4.440000000000033253e+00,1.628729287488726385e+01,1.255207006532661396e+01,1.685911132669675183e+01
-4.420000000000033680e+00,1.917934964285485933e+01,1.440346789432368446e+01,1.860485400894354768e+01
-4.400000000000034106e+00,2.236458319210062129e+01,2.199944746267101792e+01,2.045194816349351186e+01
-4.380000000000034532e+00,2.514822707187052231e+01,2.887944999843838190e+01,2.213094818130614527e+01
-4.360000000000034959e+00,2.692934708518108522e+01,4.144390683514978946e+01,2.342657656540250954e+01
-4.340000000000035385e+00,2.750523354924584751e+01,2.444491265492441201e+01,2.421470969677238116e+01
-4.320000000000035811e+00,2.711233549245851293e+01,1.931731589057395482e+01,2.446793858856279513e+01
-4.300000000000036238e+00,2.617761549578618485e+01,2.256244742150326488e+01,2.423642981489799908e+01
-4.280000000000036664e+00,2.499808259427791413e+01,3.185468686023779838e+01,2.361923041958894132e+01
-4.260000000000037090e+00,2.364985808008114532e+01,2.970266604527022025e+01,2.274372260250937217e+01
-4.240000000000037517e+00,2.216074582298277207e+01,1.618718890144646494e+01,2.175322313291489351e+01
-4.220000000000037943e+00,2.069027872449105487e+01,1.720425515640927472e+01,2.079940790698662667e+01
-4.200000000000038369e+00,1.951887742901592304e+01,2.151808750964512029e+01,2.002902642244300679e+01
-4.180000000000038796e+00,1.894915871118026374e+01,1.846957242989350689e+01,1.955968742089583401e+01
-4.160000000000039222e+00,1.915247741237734402e+01,6.922448090806732068e+00,1.945458444518792973e+01
-4.140000000000039648e+00,2.003715095496775334e+01,1.791284640501901038e+01,1.970574380803263637e+01
-4.120000000000040075e+00,2.127930063109893055e+01,2.107682696930944743e+01,2.023759320547147667e+01
-4.100000000000040501e+00,2.244588902173808620e+01,1.909137867041386372e+01,2.093489338042374470e+01
-4.080000000000040927e+00,2.320425289818049919e+01,2.875196359571668125e+01,2.168312918928869593e+01
-4.060000000000041354e+00,2.352214967613118901e+01,2.857216593886273515e+01,2.240629672043732512e+01
-4.040000000000041780e+00,2.365518709516398488e+01,1.785339528130761622e+01,2.308522440419196897e+01
-4.020000000000042206e+00,2.397032773624605895e+01,2.481663110146729068e+01,2.374590557951516701e+01
-4.000000000000042633e+00,2.473065547249209573e+01,1.851092875163293172e+01,2.442884552959812794e+01
-3.980000000000043059e+00,2.592972127550856243e+01,2.559032629871516917e+01,2.515607921472177111e+01
-3.960000000000043485e+00,2.727930063109867831e+01,2.466015964055711507e+01,2.591327413559910653e+01
-3.940000000000043912e+00,2.839373934560675394e+01,2.196774527336697247e+01,2.665713769014431733e+01
-3.920000000000044338e+00,2.898864515860661228e+01,4.263640550315116684e+01,2.734084569945002841e+01
-3.900000000000044764e+00,2.905177548580324043e+01,2.883011203300493719e+01,2.794737758322875010e+01
-3.880000000000045191e+00,2.885439226042619154e+01,2.225014949927220442e+01,2.851032631528806505e+01
-3.860000000000045617e+00,2.876476645075410943e+01,2.937104456486582293e+01,2.911571509974387695e+01
-3.840000000000046043e+00,2.904901934893449678e+01,2.160138379634372896e+01,2.988639389546872849e+01
-3.820000000000046469e+00,2.981630966614765654e+01,3.978321586025953138e+01,3.095006689429465752e+01
-3.800000000000046896e+00,3.114009546583621457e+01,3.598128812061727899e+01,3.239145881570262020e+01
-3.780000000000047322e+00,3.313733932896737144e+01,1.240205294749165255e+01,3.420772969177593126e+01
-3.760000000000047748e+00,3.576462964618045248e+01,2.295788112052627383e+01,3.627409215941931109e+01
-3.740000000000048175e+00,3.860075093832792703e+01,4.823594956693143132e+01,3.834970702519700581e+01
-3.720000000000048601e+00,4.087574965949180239e+01,4.988064359392188152e+01,4.013639737587618583e+01
-3.700000000000049027e+00,4.183303741903278450e+01,5.469186147417590149e+01,4.137550730167396296e+01
-3.680000000000049454e+00,4.120247485470498816e+01,5.008460447305485985e+01,4.194476769393347837e+01
-3.660000000000049880e+00,3.934308131544278098e+01,6.082629471621351769e+01,4.190831260599693309e+01
-3.640000000000050306e+00,3.704219357254118705e+01,2.837128159390674398e+01,4.148580096434996278e+01
-3.620000000000050733e+00,3.513116646739360505e+01,2.444005787076741498e+01,4.094865292573706483e+01
-3.600000000000051159e+00,3.411747613354103947e+01,4.419486629202521044e+01,4.048699846854979256e+01
-3.580000000000051585e+00,3.404079483473764611e+01,2.762229768131211927e+01,4.010640432790552268e+01
-3.560000000000052012e+00,3.449771096162285033e+01,2.790024221691143325e+01,3.960762620314093141e+01
-3.540000000000052438e+00,3.479827096827870037e+01,7.409317279738199602e+01,3.866260861884098432e+01
